,Date,USD,EUR
12,1990,383.56,282.94628
13,1991,362.26,278.4072
14,1992,343.95,253.37085
15,1993,359.82,301.327
16,1994,384.15,319.36006
17,1995,384.05,291.93644
18,1996,387.87,300.88347
19,1997,331.29,292.48136
20,1998,294.09,264.28112
21,1999,278.57,261.40884
22,2000,279.1,302.74148
23,2001,271.04,302.86333
24,2002,309.68,327.97053
25,2003,363.32,321.23011
26,2004,409.17,329.16103
27,2005,444.45,358.33936
28,2006,603.77,480.59317
29,2007,695.39,506.81233
30,2008,871.96,593.19118
31,2009,972.35,697.01955
32,2010,1224.52,925.18936
33,2011,1571.52,1129.92459
34,2012,1668.98,1298.7161
35,2013,1411.23,1063.76915
36,2014,1266.4,952.82571
37,2015,1160.06,1045.29709
38,2016,1250.8,1129.45348
39,2017,1257.15,1114.05904
40,2018,1268.49,1073.6977
41,2019,1392.6,1244.87505
42,2020,1769.59,1549.04471
43,2021,1798.61,1520.62257
