Date,USD,EUR
1978,193.44,124.7358
1979,304.68,185.06142
1980,614.5,378.19461
1981,459.26,360.90588
1982,375.3,345.59742
1983,423.66,439.89318
1984,360.78,425.91
1985,317.3,394.08922
1986,367.85,351.34774
1987,446.22,366.06607
1988,436.86,352.12732
1989,380.82,325.48985
1990,383.56,282.94628
1991,362.26,278.4072
1992,343.95,253.37085
1993,359.82,301.327
1994,384.15,319.36006
1995,384.05,291.93644
1996,387.87,300.88347
1997,331.29,292.48136
1998,294.09,264.28112
1999,278.57,261.40884
2000,279.1,302.74148
2001,271.04,302.86333
2002,309.68,327.97053
2003,363.32,321.23011
2004,409.17,329.16103
2005,444.45,358.33936
2006,603.77,480.59317
2007,695.39,506.81233
2008,871.96,593.19118
2009,972.35,697.01955
2010,1224.52,925.18936
2011,1571.52,1129.92459
2012,1668.98,1298.7161
2013,1411.23,1063.76915
2014,1266.4,952.82571
2015,1160.06,1045.29709
2016,1250.8,1129.45348
2017,1257.15,1114.05904
2018,1268.49,1073.6977
2019,1392.6,1244.87505
2020,1769.59,1549.04471
2021,1798.61,1520.62257
