Year,Inflation_Index,Brent_Price,Gold_USD,MSCI World,SPX_value,Interest_Rate
1990,6.76,23.76,383.56,58201.46,334.63,7.81
1991,7.44,20.04,362.26,72914.06,376.19,6.74
1992,5.65,19.32,343.95,73078.71,415.75,4.13
1993,4.81,17.01,359.82,98630.71,451.61,3.56
1994,4.26,15.86,384.15,96930.88,460.42,3.67
1995,5.47,17.02,384.05,111794.25,541.72,7.23
1996,6.39,20.64,387.87,130825.76,670.49,5.17
1997,5.34,19.11,331.29,169914.86,873.43,5.63
1998,4.71,12.76,294.09,200555.96,1085.5,5.46
1999,3.65,17.9,278.57,294165.1,1327.33,4.58
2000,3.95,28.66,279.1,276564.16,1427.22,6.09
2001,3.78,24.46,271.04,243761.59,1194.18,5.11
2002,3.12,24.99,309.68,164820.38,993.93,2.28
2003,2.84,28.85,363.32,183058.76,965.23,1.42
2004,1.95,38.26,409.17,195619.9,1130.65,1.31
2005,2.52,54.57,444.45,248504.8,1207.23,2.79
2006,2.97,65.16,603.77,268569.03,1310.46,4.38
2007,2.09,72.44,695.39,263257.1,1477.18,5.0
2008,3.62,96.94,871.96,166149.47,1220.04,3.17
2009,1.37,61.74,972.35,209934.69,948.05,0.4
2010,2.05,79.61,1224.52,254263.71,1139.97,0.45
2011,2.04,111.26,1571.52,249403.88,1267.64,0.29
2012,2.79,111.63,1668.98,285031.05,1379.35,0.12
2013,1.73,108.56,1411.23,347314.59,1643.8,0.15
2014,1.66,98.97,1266.4,416228.64,1931.38,0.13
2015,0.59,52.32,1160.06,462681.53,2061.07,0.25
2016,1.29,43.64,1250.8,516830.01,2094.65,0.61
2017,2.36,54.13,1257.15,559064.78,2449.08,0.89
2018,2.19,71.34,1268.49,537532.97,2746.21,1.83
2019,2.11,64.3,1392.6,703474.06,2913.36,2.6
2020,2.38,41.96,1769.59,750264.58,3140.02,1.56
2021,1.56,70.86,1798.61,994518.44,4766.28,0.1
2022,7.18,86.54,1772.9,929279.32,3933.92,4.0
